customerid,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
13954,23,2,439.92,5,3,2,532,Potential
15520,23,1,343.50,5,2,2,522,Potential
14032,24,11,2975.59,5,5,5,555,Champions
12615,24,4,2291.19,5,4,5,545,Champions
16393,24,13,2997.21,5,5,5,555,Champions
15525,24,3,690.01,5,4,3,543,Loyal Customers
15701,24,4,1516.10,5,4,4,544,Champions
14534,24,18,4307.89,5,5,5,555,Champions
18219,24,10,2069.77,5,5,5,555,Champions
14708,24,3,1126.37,5,3,4,534,Loyal Customers
14085,24,18,4409.16,5,5,5,555,Champions
16368,24,2,445.60,5,3,2,532,Potential
15195,24,1,3861.00,5,1,5,515,Needs Attention
13685,24,7,3119.44,5,5,5,555,Champions
16458,24,18,3482.74,5,5,5,555,Champions
12826,24,7,1474.72,5,5,4,554,Champions
17449,24,7,2510.36,5,5,5,555,Champions
12747,24,11,4196.01,5,5,5,555,Champions
13769,24,10,2796.51,5,5,5,555,Champions
18272,24,6,3078.58,5,5,5,555,Champions
17238,24,17,3631.98,5,5,5,555,Champions
12828,24,6,1018.71,5,5,4,554,Champions
17412,24,7,1258.06,5,5,4,554,Champions
17870,24,12,1792.45,5,5,4,554,Champions
17503,24,2,558.96,5,3,3,533,Loyal Customers
14910,24,4,434.35,5,4,2,542,Potential
12347,24,7,4310.00,5,5,5,555,Champions
17049,24,9,5655.03,5,5,5,555,Champions
14189,24,15,4654.08,5,5,5,555,Champions
12569,24,32,4124.69,5,5,5,555,Champions
17434,24,7,2373.82,5,5,5,555,Champions
15298,24,12,4799.90,5,5,5,555,Champions
12583,24,15,7281.38,5,5,5,555,Champions
16678,24,12,3109.99,5,5,5,555,Champions
14769,24,8,10217.73,5,5,5,555,Champions
14527,24,55,8507.13,5,5,5,555,Champions
15969,24,3,666.10,5,3,3,533,Loyal Customers
12950,24,3,1843.00,5,4,4,544,Champions
16539,24,4,1388.81,5,4,4,544,Champions
13767,24,37,17220.36,5,5,5,555,Champions
14904,24,2,1025.44,5,3,4,534,Loyal Customers
16000,24,3,12393.70,5,3,5,535,Loyal Customers
15750,24,8,2456.40,5,5,5,555,Champions
14204,24,1,146.02,5,1,1,511,Needs Attention
18092,24,11,9068.26,5,5,5,555,Champions
18237,24,5,987.10,5,4,4,544,Champions
13870,24,8,2770.94,5,5,5,555,Champions
12839,24,14,5588.44,5,5,5,555,Champions
13756,24,14,5189.52,5,5,5,555,Champions
14395,24,9,3418.27,5,5,5,555,Champions
17042,24,5,1036.58,5,4,4,544,Champions
18273,24,3,204.00,5,4,1,541,Needs Attention
13743,24,7,1341.60,5,5,4,554,Champions
16817,24,9,1604.75,5,5,4,554,Champions
15498,24,27,13316.40,5,5,5,555,Champions
17232,24,2,417.77,5,3,2,532,Potential
15568,24,3,758.29,5,4,3,543,Loyal Customers
17091,24,9,3827.76,5,5,5,555,Champions
16525,24,26,13027.45,5,5,5,555,Champions
13089,24,97,58708.68,5,5,5,555,Champions
13534,24,25,5870.08,5,5,5,555,Champions
12720,24,25,5781.73,5,5,5,555,Champions
16271,24,5,1393.64,5,4,4,544,Champions
12471,24,30,19788.65,5,5,5,555,Champions
13882,24,5,1191.13,5,4,4,544,Champions
14132,24,11,3586.03,5,5,5,555,Champions
12935,24,7,2160.70,5,5,5,555,Champions
17735,24,19,13110.02,5,5,5,555,Champions
16779,24,22,10608.42,5,5,5,555,Champions
14087,24,1,171.71,5,1,1,511,Needs Attention
15136,24,4,1286.70,5,4,4,544,Champions
17590,24,3,1415.98,5,3,4,534,Loyal Customers
17266,24,3,274.31,5,3,2,532,Potential
12783,24,6,2225.91,5,5,5,555,Champions
13668,24,21,6294.58,5,5,5,555,Champions
17511,24,31,91062.38,5,5,5,555,Champions
15471,24,1,432.05,5,1,2,512,Needs Attention
17602,24,6,4940.52,5,5,5,555,Champions
12912,24,5,1662.30,5,4,4,544,Champions
16672,24,20,8134.94,5,5,5,555,Champions
17835,24,3,342.24,5,4,2,542,Potential
16426,24,10,1842.86,5,5,4,554,Champions
17017,24,20,8694.26,5,5,5,555,Champions
15984,24,10,2710.96,5,5,5,555,Champions
15883,24,2,396.48,5,3,2,532,Potential
16191,24,13,5180.52,5,5,5,555,Champions
14397,24,19,2612.96,5,5,5,555,Champions
14794,24,7,1319.91,5,5,4,554,Champions
13949,24,6,2427.32,5,5,5,555,Champions
13267,24,19,4521.49,5,5,5,555,Champions
17097,24,8,951.04,5,5,4,554,Champions
14141,24,4,915.13,5,4,3,543,Loyal Customers
16313,25,2,274.15,5,2,2,522,Potential
12362,25,10,5226.23,5,5,5,555,Champions
14907,25,7,3501.10,5,5,5,555,Champions
14503,25,6,3543.26,5,5,5,555,Champions
14868,25,8,2953.59,5,5,5,555,Champions
16949,25,6,1286.27,5,5,4,554,Champions
14140,25,2,935.05,5,3,4,534,Loyal Customers
12749,25,5,4090.88,5,4,5,545,Champions
16013,25,47,35315.60,5,5,5,555,Champions
17883,25,4,637.49,5,4,3,543,Loyal Customers
13881,25,20,17159.52,5,5,5,555,Champions
13507,25,4,2479.16,5,4,5,545,Champions
17730,25,13,5298.48,5,5,5,555,Champions
15907,25,3,766.85,5,3,3,533,Loyal Customers
13694,25,50,65039.62,5,5,5,555,Champions
12584,25,9,2338.15,5,5,5,555,Champions
13104,25,6,1098.48,5,5,4,554,Champions
14735,25,32,6065.69,5,5,5,555,Champions
14578,25,1,168.63,5,1,1,511,Needs Attention
14562,25,18,4949.12,5,5,5,555,Champions
13709,25,13,6307.65,5,5,5,555,Champions
12716,25,2,1053.49,5,3,4,534,Loyal Customers
16987,25,7,1598.80,5,5,4,554,Champions
14216,25,4,1839.30,5,4,4,544,Champions
13225,25,7,6463.84,5,5,5,555,Champions
12478,25,1,680.99,5,1,3,513,Needs Attention
16016,25,8,1402.36,5,5,4,554,Champions
16979,25,6,1851.17,5,5,4,554,Champions
14871,25,4,499.63,5,4,3,543,Loyal Customers
16764,25,13,2764.98,5,5,5,555,Champions
17666,25,2,728.16,5,3,3,533,Loyal Customers
12820,25,4,942.34,5,4,4,544,Champions
17884,25,4,690.87,5,4,3,543,Loyal Customers
14737,25,3,1164.55,5,3,4,534,Loyal Customers
14110,25,12,5683.15,5,5,5,555,Champions
17914,25,1,318.96,5,2,2,522,Potential
17290,25,2,507.78,5,3,3,533,Loyal Customers
15992,25,1,41.99,5,1,1,511,Needs Attention
14071,25,8,1436.13,5,5,4,554,Champions
13323,25,5,787.85,5,4,3,543,Loyal Customers
14572,25,7,2735.00,5,5,5,555,Champions
13994,25,6,2247.49,5,5,5,555,Champions
16076,25,10,2193.93,5,5,5,555,Champions
13078,25,26,12627.94,5,5,5,555,Champions
14825,25,12,2210.36,5,5,5,555,Champions
14293,25,4,1046.56,5,4,4,544,Champions
14121,25,4,2780.15,5,4,5,545,Champions
18283,25,16,1991.89,5,5,4,554,Champions
15157,25,3,1936.07,5,4,4,544,Champions
12650,25,1,314.44,5,2,2,522,Potential
16528,25,1,244.41,5,1,1,511,Needs Attention
16569,25,1,124.20,5,2,1,521,Needs Attention
14113,25,4,1840.42,5,4,4,544,Champions
17728,25,3,2876.01,5,4,5,545,Champions
15318,25,1,312.62,5,2,2,522,Potential
16790,25,6,1545.62,5,5,4,554,Champions
17250,25,2,380.02,5,3,2,532,Potential
16133,25,33,14589.04,5,5,5,555,Champions
14282,25,15,3701.44,5,5,5,555,Champions
12723,25,5,725.07,5,4,3,543,Loyal Customers
14673,25,5,1736.40,5,4,4,544,Champions
14418,25,3,1934.71,5,4,4,544,Champions
12766,25,7,6989.63,5,5,5,555,Champions
16201,25,4,1863.47,5,4,4,544,Champions
16929,25,7,1295.39,5,5,4,554,Champions
15822,25,2,885.47,5,3,3,533,Loyal Customers
16711,25,5,1651.03,5,4,4,544,Champions
15194,25,15,7616.53,5,5,5,555,Champions
16620,25,2,178.96,5,2,1,521,Needs Attention
12877,25,12,1535.77,5,5,4,554,Champions
17346,25,15,2600.90,5,5,5,555,Champions
12417,25,9,3649.10,5,5,5,555,Champions
17593,25,5,3898.90,5,4,5,545,Champions
16143,25,6,2424.94,5,5,5,555,Champions
18005,25,2,225.22,5,2,1,521,Needs Attention
12971,25,86,11189.91,5,5,5,555,Champions
18154,25,2,399.19,5,3,2,532,Potential
12989,25,15,6924.11,5,5,5,555,Champions
13755,25,9,2062.26,5,5,5,555,Champions
18225,25,12,5495.85,5,5,5,555,Champions
14547,25,8,3925.07,5,5,5,555,Champions
17861,25,8,2079.98,5,5,5,555,Champions
17705,25,9,1823.52,5,5,4,554,Champions
15023,25,11,6649.90,5,5,5,555,Champions
12682,25,31,12279.82,5,5,5,555,Champions
12442,25,1,172.06,5,1,1,511,Needs Attention
13199,25,38,9817.12,5,5,5,555,Champions
16353,25,23,6675.71,5,5,5,555,Champions
15061,25,48,54534.14,5,5,5,555,Champions
16495,25,3,602.56,5,3,3,533,Loyal Customers
17481,25,4,1255.59,5,4,4,544,Champions
16015,25,3,698.29,5,4,3,543,Loyal Customers
17119,25,2,606.91,5,3,3,533,Loyal Customers
17744,25,6,2322.40,5,5,5,555,Champions
13079,26,5,220.10,5,4,1,541,Needs Attention
18015,26,1,120.03,5,2,1,521,Needs Attention
18180,26,6,1843.75,5,5,4,554,Champions
16360,26,6,3359.47,5,5,5,555,Champions
17579,26,3,439.70,5,3,2,532,Potential
16684,26,28,66653.56,5,5,5,555,Champions
15856,26,27,15972.91,5,5,5,555,Champions
12841,26,25,3987.83,5,5,5,555,Champions
17857,26,23,26879.04,5,5,5,555,Champions
15358,26,22,8347.20,5,5,5,555,Champions
14194,26,21,11349.52,5,5,5,555,Champions
16379,26,4,2157.40,5,4,5,545,Champions
15392,26,4,1535.53,5,4,4,544,Champions
15145,26,4,1194.73,5,4,4,544,Champions
14060,26,19,6140.42,5,5,5,555,Champions
16746,26,18,6670.96,5,5,5,555,Champions
15290,26,18,7943.22,5,5,5,555,Champions
17526,26,4,1195.90,5,4,4,544,Champions
16811,26,2,547.07,5,3,3,533,Loyal Customers
17920,26,17,3959.79,5,5,5,555,Champions
18198,26,17,5405.76,5,5,5,555,Champions
16513,26,4,874.59,5,4,3,543,Loyal Customers
17706,26,17,10504.49,5,5,5,555,Champions
14096,26,17,64645.14,5,5,5,555,Champions
16592,26,16,4113.68,5,5,5,555,Champions
16904,26,16,3633.82,5,5,5,555,Champions
17404,26,15,31906.82,5,5,5,555,Champions
17811,26,39,7629.13,5,5,5,555,Champions
15550,26,4,575.63,5,4,3,543,Loyal Customers
15640,26,15,12404.86,5,5,5,555,Champions
13985,26,15,7045.13,5,5,5,555,Champions
12683,26,15,8476.57,5,5,5,555,Champions
13311,26,2,598.57,5,3,3,533,Loyal Customers
13230,26,14,2720.36,5,5,5,555,Champions
18223,26,14,6484.54,5,5,5,555,Champions
15031,26,4,653.19,5,4,3,543,Loyal Customers
13173,26,2,353.65,5,2,2,522,Potential
17402,26,13,2633.85,5,5,5,555,Champions
13001,26,13,9747.95,5,5,5,555,Champions
14401,26,13,4051.48,5,5,5,555,Champions
13417,26,2,640.83,5,3,3,533,Loyal Customers
17006,26,4,781.78,5,4,3,543,Loyal Customers
15854,26,12,2969.12,5,5,5,555,Champions
14759,26,3,1625.97,5,4,4,544,Champions
16642,26,2,688.33,5,3,3,533,Loyal Customers
14649,26,4,1382.17,5,4,4,544,Champions
12925,26,2,694.05,5,3,3,533,Loyal Customers
15274,26,2,716.57,5,3,3,533,Loyal Customers
13083,26,2,303.75,5,2,2,522,Potential
15033,26,10,2465.66,5,5,5,555,Champions
18044,26,10,2088.60,5,5,5,555,Champions
12381,26,5,1845.31,5,4,4,544,Champions
16851,26,3,342.45,5,4,2,542,Potential
13790,26,1,348.80,5,2,2,522,Potential
13305,26,10,2000.86,5,5,4,554,Champions
16149,26,2,280.52,5,2,2,522,Potential
14629,26,2,952.50,5,3,4,534,Loyal Customers
17254,26,2,271.19,5,2,2,522,Potential
17218,26,10,1923.61,5,5,4,554,Champions
13021,26,9,2616.38,5,5,5,555,Champions
16968,26,2,439.43,5,3,2,532,Potential
14083,26,9,1002.90,5,5,4,554,Champions
15628,26,9,2870.24,5,5,5,555,Champions
16200,26,2,1037.73,5,3,4,534,Loyal Customers
16910,26,8,1508.96,5,5,4,554,Champions
12367,26,1,168.90,5,1,1,511,Needs Attention
15690,26,2,239.76,5,2,1,521,Needs Attention
18030,26,2,230.65,5,2,1,521,Needs Attention
15932,26,8,2495.87,5,5,5,555,Champions
12782,26,5,2330.92,5,4,5,545,Champions
14931,26,5,1257.68,5,4,4,544,Champions
16682,26,5,1028.00,5,4,4,544,Champions
13126,26,8,2099.64,5,5,5,555,Champions
12646,26,2,1346.97,5,3,4,534,Loyal Customers
14739,26,7,3902.28,5,5,5,555,Champions
12913,26,5,2483.63,5,4,5,545,Champions
16597,26,1,90.04,5,2,1,521,Needs Attention
14219,26,1,89.94,5,2,1,521,Needs Attention
17383,26,1,193.39,5,1,1,511,Needs Attention
12994,26,3,974.42,5,4,4,544,Champions
15097,26,1,248.08,5,2,2,522,Potential
14608,26,4,1785.15,5,4,4,544,Champions
15572,26,7,2434.36,5,5,5,555,Champions
12628,26,3,786.46,5,4,3,543,Loyal Customers
14075,26,3,942.26,5,4,4,544,Champions
17090,26,7,1971.70,5,5,4,554,Champions
14696,26,7,2078.95,5,5,5,555,Champions
17817,26,3,381.78,5,4,2,542,Potential
16873,26,6,7123.62,5,5,5,555,Champions
15621,26,4,1135.11,5,4,4,544,Champions
15053,26,3,673.01,5,3,3,533,Loyal Customers
16600,26,6,813.52,5,5,3,553,Loyal Customers
17676,26,6,1371.18,5,4,4,544,Champions
16500,26,6,400.86,5,5,2,552,Potential
13435,27,7,3770.29,5,5,5,555,Champions
12952,27,4,1387.79,5,4,4,544,Champions
13704,27,9,2308.06,5,5,5,555,Champions
17131,27,5,2252.82,5,4,5,545,Champions
12560,27,3,2134.01,5,4,5,545,Champions
16988,27,1,126.12,5,1,1,511,Needs Attention
17858,27,12,5109.91,5,5,5,555,Champions
13736,27,2,715.15,5,3,3,533,Loyal Customers
12827,27,3,430.15,5,4,2,542,Potential
12724,27,4,1031.41,5,4,4,544,Champions
16033,27,20,8713.59,5,5,5,555,Champions
17954,27,12,2305.88,5,5,5,555,Champions
13596,27,2,646.00,5,3,3,533,Loyal Customers
13808,27,5,1747.66,5,4,4,544,Champions
13822,27,2,630.35,5,3,3,533,Loyal Customers
14583,27,5,939.45,5,4,4,544,Champions
13558,27,4,590.35,5,4,3,543,Loyal Customers
16326,27,14,2926.73,5,5,5,555,Champions
17629,27,8,1814.12,5,5,4,554,Champions
18065,27,14,2392.83,5,5,5,555,Champions
15867,27,15,3810.14,5,5,5,555,Champions
14720,27,3,663.81,5,3,3,533,Loyal Customers
15773,27,1,635.68,5,1,3,513,Needs Attention
16438,27,5,797.10,5,4,3,543,Loyal Customers
17618,27,3,921.78,5,3,3,533,Loyal Customers
12673,27,2,610.52,5,3,3,533,Loyal Customers
12490,27,10,5417.93,5,5,5,555,Champions
14658,27,2,247.15,5,2,2,522,Potential
12719,27,2,644.95,5,3,3,533,Loyal Customers
16535,27,1,593.75,5,1,3,513,Needs Attention
16283,27,5,1553.86,5,4,4,544,Champions
13319,27,26,10845.55,5,5,5,555,Champions
16931,27,21,4518.17,5,5,5,555,Champions
16905,27,7,2861.42,5,5,5,555,Champions
14546,27,5,2541.58,5,4,5,545,Champions
17173,27,8,3766.60,5,5,5,555,Champions
17936,27,1,358.99,5,2,2,522,Potential
14354,27,2,163.62,5,2,1,521,Needs Attention
16561,27,2,511.12,5,3,3,533,Loyal Customers
13630,27,7,2031.78,5,5,4,554,Champions
14456,27,9,2952.76,5,5,5,555,Champions
13838,27,4,655.25,5,4,3,543,Loyal Customers
17750,27,9,1687.84,5,5,4,554,Champions
13153,27,1,486.22,5,1,2,512,Needs Attention
17114,27,8,796.61,5,5,3,553,Loyal Customers
17827,27,5,1976.09,5,4,4,544,Champions
14102,27,5,1034.78,5,4,4,544,Champions
13956,27,5,988.97,5,4,4,544,Champions
18055,29,10,6736.09,5,5,5,555,Champions
14126,29,3,706.13,5,4,3,543,Loyal Customers
13309,29,5,1456.79,5,4,4,544,Champions
14895,29,20,11138.71,5,5,5,555,Champions
16899,29,6,1271.06,5,5,4,554,Champions
14788,29,2,679.44,5,3,3,533,Loyal Customers
13953,29,7,3515.68,5,5,5,555,Champions
17495,29,2,497.56,5,3,3,533,Loyal Customers
12962,29,2,266.39,5,2,2,522,Potential
12700,29,4,4939.99,5,4,5,545,Champions
16440,29,5,3625.27,5,4,5,545,Champions
17567,29,8,4331.48,5,5,5,555,Champions
16038,29,3,471.78,5,3,2,532,Potential
12558,29,1,269.96,5,2,2,522,Potential
17157,29,2,319.00,5,2,2,522,Potential
14688,29,21,5568.70,5,5,5,555,Champions
17942,29,1,77.50,5,1,1,511,Needs Attention
12587,29,1,144.00,5,1,1,511,Needs Attention
13560,29,1,171.42,5,1,1,511,Needs Attention
12970,29,4,373.97,5,4,2,542,Potential
15539,29,1,538.46,5,1,3,513,Needs Attention
13297,29,4,2089.85,5,4,5,545,Champions
13969,29,18,8993.97,5,5,5,555,Champions
14092,29,14,4076.91,5,5,5,555,Champions
18097,29,6,2662.40,5,5,5,555,Champions
17086,29,6,2050.08,5,5,5,555,Champions
13884,29,5,784.70,5,4,3,543,Loyal Customers
16333,29,22,26626.80,5,5,5,555,Champions
17584,29,2,1242.30,5,3,4,534,Loyal Customers
14560,29,22,2237.77,5,5,5,555,Champions
16474,29,7,1725.95,5,5,4,554,Champions
13458,29,14,9646.57,5,5,5,555,Champions
16103,29,6,1429.64,5,5,4,554,Champions
15547,29,14,4843.69,5,5,5,555,Champions
12856,29,6,2151.63,5,5,5,555,Champions
15078,29,32,9743.11,5,5,5,555,Champions
17686,29,7,5739.46,5,5,5,555,Champions
12704,29,8,2340.84,5,5,5,555,Champions
13780,29,2,360.01,5,3,2,532,Potential
15271,29,15,2471.10,5,5,5,555,Champions
14428,29,5,1205.31,5,4,4,544,Champions
17611,29,15,3954.22,5,5,5,555,Champions
12684,29,7,2283.63,5,5,5,555,Champions
16989,29,6,1133.25,5,5,4,554,Champions
14250,29,3,1904.05,5,4,4,544,Champions
17386,29,6,2686.42,5,5,5,555,Champions
14594,29,2,360.04,5,3,2,532,Potential
18282,29,2,178.05,5,2,1,521,Needs Attention
12695,29,4,582.10,5,4,3,543,Loyal Customers
14865,29,2,52.20,5,2,1,521,Needs Attention
13495,29,5,2044.87,5,4,4,544,Champions
14023,29,2,584.07,5,3,3,533,Loyal Customers
18174,29,1,104.00,5,2,1,521,Needs Attention
14031,29,19,17286.86,5,5,5,555,Champions
14292,29,9,4871.93,5,5,5,555,Champions
13183,29,9,3957.78,5,5,5,555,Champions
18144,29,12,2888.75,5,5,5,555,Champions
12762,29,2,1898.52,5,3,4,534,Loyal Customers
13017,29,1,204.00,5,1,1,511,Needs Attention
14493,29,5,2383.24,5,4,5,545,Champions
17183,29,6,3347.31,5,5,5,555,Champions
15570,29,12,4103.52,5,5,5,555,Champions
15123,29,2,2199.31,5,3,5,535,Loyal Customers
17221,29,2,334.48,5,2,2,522,Potential
15769,29,26,56252.72,5,5,5,555,Champions
14897,29,4,1366.38,5,4,4,544,Champions
13705,29,3,711.86,5,3,3,533,Loyal Customers
16759,29,3,789.79,5,4,3,543,Loyal Customers
18245,29,7,2567.06,5,5,5,555,Champions
16359,29,9,1750.92,5,5,4,554,Champions
13868,29,2,3192.54,5,3,5,535,Loyal Customers
12364,29,4,1313.10,5,4,4,544,Champions
15144,30,17,6580.44,5,5,5,555,Champions
14146,30,5,4191.00,5,4,5,545,Champions
12562,30,7,3781.74,5,5,5,555,Champions
16938,30,4,2695.23,5,4,5,545,Champions
12901,30,28,17654.54,5,5,5,555,Champions
17566,30,2,806.65,5,3,3,533,Loyal Customers
17937,30,7,4301.22,5,5,5,555,Champions
15101,30,2,317.53,5,2,2,522,Potential
16169,30,4,1822.97,5,4,4,544,Champions
16496,30,3,1599.52,5,3,4,534,Loyal Customers
