customerid,last_purchase_date,frequency,monetary,recency_days
12398,2011-10-25 10:27:00,1,1635.66,67
12399,2011-08-12 13:15:00,4,1108.65,141
12401,2011-02-09 13:50:00,1,84.30,325
12402,2011-01-20 13:49:00,1,225.60,345
12403,2011-10-21 10:51:00,1,427.70,71
12405,2011-07-14 08:52:00,1,1710.39,170
12406,2011-11-17 19:22:00,2,3270.30,44
12407,2011-10-21 10:11:00,5,1708.12,71
12408,2011-11-07 12:27:00,5,2888.55,54
12409,2011-09-22 10:38:00,3,11072.67,100
12410,2011-02-04 10:39:00,2,693.33,330
12412,2011-09-26 10:16:00,3,1226.88,96
12413,2011-10-04 09:00:00,3,758.10,88
12414,2011-05-06 14:51:00,3,562.41,239
12415,2011-11-15 14:22:00,21,124914.53,46
12417,2011-12-06 14:52:00,9,3649.10,25
12418,2011-08-19 11:08:00,1,668.58,134
12420,2011-10-07 08:55:00,1,600.39,85
12421,2011-11-24 09:07:00,4,807.04,37
12422,2011-09-05 09:48:00,3,803.56,117
12423,2011-12-09 10:10:00,8,1859.31,22
12424,2011-06-30 12:06:00,2,1760.96,184
12425,2011-09-22 17:31:00,1,777.20,100
12426,2011-05-29 12:26:00,1,582.73,216
12427,2011-11-18 08:56:00,3,825.80,43
12428,2011-11-14 08:22:00,9,7956.46,47
12429,2011-11-30 17:22:00,4,3750.40,31
12430,2011-10-27 15:09:00,1,256.40,65
12431,2011-11-04 11:55:00,15,6419.95,57
12432,2011-10-28 11:43:00,5,5059.32,64
12433,2011-12-09 10:02:00,7,13375.87,22
12434,2011-09-16 12:38:00,2,806.14,106
12435,2011-09-21 09:06:00,2,7829.89,101
12436,2011-09-01 12:09:00,1,509.01,121
12437,2011-12-08 11:35:00,18,4951.41,23
12438,2011-11-25 13:28:00,2,2906.85,36
12441,2010-12-08 10:45:00,1,173.55,388
12442,2011-12-06 14:22:00,1,172.06,25
12444,2011-11-18 13:23:00,5,4985.56,43
12445,2011-11-17 18:43:00,1,133.40,44
12446,2011-10-13 12:50:00,1,1002.31,79
12447,2011-04-10 13:25:00,1,476.49,265
12448,2011-10-26 13:46:00,1,449.45,66
12449,2011-11-17 13:46:00,4,4067.29,44
12450,2011-07-06 14:41:00,2,197.88,178
12451,2011-11-29 08:40:00,5,9035.52,32
12452,2011-11-23 10:28:00,2,430.57,38
12453,2011-07-28 14:08:00,1,707.09,156
12454,2011-10-14 17:13:00,1,3528.34,78
12455,2011-09-27 15:31:00,6,2466.86,95
12456,2011-10-26 14:41:00,3,3181.04,66
12457,2011-10-04 13:13:00,7,2302.03,88
12458,2011-09-29 15:25:00,2,947.40,93
12461,2011-09-06 16:57:00,2,826.88,116
12462,2011-11-21 09:11:00,2,1189.59,40
12463,2011-10-17 13:44:00,4,1344.78,75
12464,2011-11-29 13:33:00,8,1212.05,32
12465,2011-11-22 16:34:00,2,742.19,39
12468,2011-06-05 11:36:00,2,729.54,209
12471,2011-12-07 15:43:00,30,19788.65,24
12472,2011-11-07 14:01:00,7,6572.11,54
12473,2011-11-10 13:46:00,5,3463.53,51
12474,2011-11-22 14:39:00,18,7324.09,39
12475,2011-10-17 10:10:00,1,723.38,75
12476,2011-11-24 12:40:00,11,6745.62,37
12477,2011-11-17 09:51:00,6,13219.74,44
12478,2011-12-06 09:56:00,1,680.99,25
12479,2011-11-28 13:26:00,1,527.20,33
12480,2011-11-11 14:52:00,4,3281.63,50
12481,2011-11-17 08:29:00,10,5579.82,44
12483,2011-11-22 17:02:00,8,2484.98,39
12484,2011-11-07 11:37:00,6,4485.11,54
12488,2011-11-30 08:50:00,3,1298.66,31
12489,2011-01-07 13:13:00,1,334.93,358
12490,2011-12-04 16:07:00,10,5417.93,27
12491,2011-11-01 12:18:00,1,444.80,60
12492,2011-10-07 15:15:00,2,263.21,85
12493,2011-06-27 10:17:00,2,433.74,187
12494,2011-11-24 09:34:00,7,1246.10,37
12497,2011-09-19 12:29:00,1,1043.10,103
12498,2011-11-18 12:53:00,3,403.70,43
12500,2011-11-16 16:20:00,11,4257.82,45
12501,2011-01-07 12:28:00,1,2169.39,358
12502,2011-09-05 11:52:00,5,3723.87,117
12504,2011-11-21 16:02:00,2,482.05,40
12506,2011-04-21 08:54:00,1,73.50,254
12507,2011-07-28 17:09:00,3,1304.81,156
12508,2011-11-13 15:37:00,2,392.68,48
12509,2011-02-28 14:45:00,1,176.50,306
12510,2011-07-20 10:15:00,2,982.57,164
12512,2011-10-04 14:55:00,2,132.18,88
12513,2011-08-19 10:51:00,1,612.29,134
12514,2011-03-17 16:38:00,1,1017.68,289
12515,2010-12-21 15:43:00,1,383.70,375
12516,2011-09-23 09:13:00,2,1312.06,99
12517,2011-11-11 14:04:00,5,2468.19,50
12518,2011-12-09 10:13:00,5,2056.89,22
12519,2011-10-07 09:26:00,1,330.84,85
12520,2011-09-21 15:23:00,5,2634.26,101
12521,2011-07-20 10:51:00,1,599.68,164
12522,2011-10-31 15:30:00,2,192.72,61
12523,2011-11-20 12:55:00,11,1789.77,41
12524,2011-11-30 15:31:00,8,4485.72,31
12526,2011-12-09 12:09:00,3,1316.66,22
12527,2011-09-19 11:55:00,3,348.71,103
12528,2011-11-30 14:40:00,6,1933.48,31
12530,2011-10-11 12:34:00,4,1662.28,81
12531,2011-11-25 11:12:00,1,125.22,36
12532,2011-11-09 13:47:00,1,349.83,52
12534,2011-08-01 10:26:00,1,1089.18,152
12535,2011-09-09 08:48:00,2,716.35,113
12536,2011-10-27 14:20:00,3,12601.83,65
12538,2011-11-10 17:16:00,1,363.95,51
12539,2011-11-17 13:30:00,4,5568.35,44
12540,2011-11-20 11:31:00,17,13400.24,41
12541,2011-11-10 10:40:00,3,981.18,51
12544,2011-11-03 16:15:00,1,372.70,58
12545,2011-09-25 13:39:00,2,1000.39,97
12546,2011-10-24 12:09:00,2,1161.50,68
12547,2011-05-26 12:38:00,2,207.80,219
12548,2011-06-26 15:35:00,1,95.20,188
12550,2011-09-21 14:35:00,1,964.83,101
12551,2010-12-17 11:23:00,1,168.00,379
12552,2011-11-01 10:02:00,2,437.82,60
12553,2011-12-01 16:38:00,10,3692.28,30
12556,2011-10-20 13:06:00,2,577.41,72
12557,2011-11-23 16:59:00,5,11990.96,38
12558,2011-12-02 10:41:00,1,269.96,29
12559,2011-02-02 09:49:00,2,561.71,332
12560,2011-12-04 13:54:00,3,2134.01,27
12561,2011-02-10 11:39:00,1,238.85,324
12562,2011-12-01 17:20:00,7,3781.74,30
12564,2011-03-23 14:55:00,1,456.90,283
12565,2011-02-24 10:34:00,1,145.92,310
12566,2011-09-14 14:30:00,1,351.65,108
12567,2011-11-17 11:02:00,10,9401.28,44
12569,2011-12-07 16:24:00,32,4124.69,24
12571,2011-10-31 10:19:00,2,519.61,61
12572,2011-12-01 09:20:00,2,1020.42,30
12573,2011-04-26 15:52:00,1,157.59,249
12574,2011-01-28 09:20:00,1,218.45,337
12576,2011-11-04 10:11:00,5,1315.83,57
12577,2011-11-04 13:24:00,3,622.40,57
12578,2011-11-18 13:30:00,2,2794.51,43
12579,2011-09-22 17:15:00,1,440.42,100
12580,2011-04-07 10:24:00,1,415.70,268
12581,2011-10-31 08:56:00,1,197.71,61
12582,2011-04-15 08:45:00,2,511.36,260
12583,2011-12-07 08:07:00,15,7281.38,24
12584,2011-12-06 09:35:00,9,2338.15,25
12585,2011-04-19 13:39:00,2,2040.10,256
12586,2011-11-22 16:24:00,1,196.94,39
12587,2011-12-02 12:47:00,1,144.00,29
12588,2011-10-31 15:01:00,1,214.90,61
12589,2011-11-11 10:19:00,2,646.68,50
12590,2011-05-12 14:52:00,2,9864.26,233
12591,2011-01-26 14:35:00,1,452.85,339
12592,2011-09-08 15:04:00,2,437.60,114
12593,2011-08-23 12:43:00,3,418.10,130
12594,2011-11-02 12:20:00,10,3338.22,59
12596,2011-10-19 13:02:00,2,618.27,73
12597,2011-11-20 13:33:00,4,3811.22,41
12598,2011-11-30 12:18:00,8,3023.08,31
12599,2011-11-10 13:34:00,7,1032.58,51
12600,2011-11-11 10:29:00,10,2599.04,50
12601,2011-06-03 10:17:00,5,577.06,211
12602,2011-10-12 11:22:00,1,153.12,80
12603,2011-11-18 10:42:00,1,739.20,43
12604,2011-09-21 14:08:00,2,254.18,101
12607,2011-10-10 16:06:00,1,1579.51,82
12609,2011-09-22 16:34:00,3,1126.85,100
12610,2011-11-17 09:34:00,5,2099.54,44
12611,2011-10-18 13:12:00,1,1193.32,74
12612,2011-09-26 15:35:00,1,704.04,96
12613,2011-10-13 14:59:00,5,3344.38,79
12614,2011-03-07 10:22:00,1,315.60,299
12615,2011-12-07 15:02:00,4,2291.19,24
12616,2011-09-05 15:17:00,2,713.30,117
12617,2011-11-10 14:39:00,1,350.88,51
12618,2011-11-18 11:10:00,1,177.31,43
12619,2011-11-23 14:52:00,9,3641.24,38
12620,2011-11-25 10:20:00,3,1339.41,36
12621,2011-12-08 11:25:00,20,13689.67,23
12622,2011-04-21 16:39:00,1,180.10,254
12623,2011-03-08 13:50:00,1,305.10,298
12624,2011-08-25 15:04:00,2,641.13,128
12625,2011-05-12 09:54:00,2,2683.82,233
12626,2011-11-16 16:06:00,9,6620.48,45
12627,2011-11-29 12:07:00,7,4478.53,32
12628,2011-12-05 13:15:00,3,786.46,26
12630,2011-11-30 10:48:00,2,1270.88,31
12631,2011-10-13 13:53:00,1,640.50,79
12633,2011-10-12 11:40:00,4,2163.98,80
12635,2011-09-11 11:04:00,2,1689.18,111
12637,2011-10-03 13:46:00,8,5984.49,89
12638,2011-11-06 13:11:00,1,671.69,55
12639,2011-04-15 12:48:00,1,486.10,260
12640,2011-11-16 11:52:00,3,1174.58,45
12641,2011-08-16 13:26:00,1,185.90,137
12642,2011-11-14 15:03:00,3,1013.26,47
12643,2011-08-03 12:56:00,6,3344.64,150
12644,2011-08-02 10:33:00,1,477.91,151
12645,2011-11-06 12:38:00,4,1775.18,55
12646,2011-12-05 10:14:00,2,1346.97,26
12647,2011-11-17 12:56:00,12,3722.82,44
12648,2011-07-08 11:55:00,1,318.05,176
12649,2011-08-24 14:41:00,3,623.51,129
12650,2011-12-06 16:34:00,1,314.44,25
12651,2011-01-09 12:46:00,1,114.00,356
12652,2011-01-12 15:00:00,1,919.98,353
12653,2011-07-14 10:41:00,2,2209.85,170
12654,2011-11-29 10:10:00,5,601.98,32
12656,2011-11-22 13:42:00,5,4051.17,39
12657,2011-11-28 15:47:00,4,1643.18,33
12658,2011-11-21 10:22:00,1,686.05,40
12659,2011-11-10 11:53:00,1,91.68,51
12660,2011-11-28 13:26:00,1,245.10,33
12662,2011-12-09 11:59:00,11,3849.78,22
12664,2011-12-01 17:07:00,9,4881.88,30
12665,2011-01-19 08:34:00,1,63.00,346
12667,2011-10-12 17:00:00,1,620.13,80
12668,2011-11-28 10:56:00,4,3807.15,33
12669,2011-07-12 09:54:00,3,2744.03,172
12670,2011-11-29 15:23:00,5,2996.05,32
12672,2011-01-14 09:20:00,1,225.90,351
12673,2011-12-04 13:55:00,2,610.52,27
12674,2011-11-01 12:12:00,4,1970.60,60
12676,2011-11-15 12:25:00,6,1331.39,46
12678,2011-10-28 13:04:00,12,17628.46,64
12679,2011-10-12 12:30:00,4,1113.02,80
12680,2011-12-09 12:50:00,4,880.81,22
12681,2011-11-25 11:33:00,22,13787.54,36
12682,2011-12-06 10:00:00,31,12279.82,25
12683,2011-12-05 16:31:00,15,8476.57,26
12684,2011-12-02 09:53:00,7,2283.63,29
12685,2011-11-11 13:46:00,6,2863.08,50
12686,2010-12-03 09:51:00,1,89.14,393
12688,2011-08-18 08:49:00,1,4873.81,135
12689,2011-11-14 08:31:00,2,1247.61,47
12690,2011-05-18 09:09:00,1,389.01,227
12691,2011-11-11 16:49:00,6,1035.80,50
12693,2011-08-04 17:51:00,4,855.91,149
12694,2011-09-30 13:06:00,2,869.67,92
12695,2011-12-02 13:22:00,4,582.10,29
12697,2011-11-11 08:47:00,3,957.59,50
12700,2011-12-02 10:47:00,4,4939.99,29
12701,2011-09-21 10:47:00,2,797.71,101
12702,2011-11-20 10:36:00,1,219.00,41
12703,2011-09-29 17:52:00,1,283.55,93
12704,2011-12-02 13:15:00,8,2340.84,29
12705,2011-11-24 13:17:00,9,6868.29,37
12707,2011-02-21 08:38:00,1,603.42,313
12708,2011-11-10 09:52:00,10,2712.91,51
12709,2011-11-24 15:38:00,15,9706.52,37
12710,2011-09-04 12:00:00,3,1149.02,118
12712,2011-11-11 08:19:00,13,4396.13,50
12713,2011-12-09 12:16:00,1,848.55,22
12714,2011-11-30 15:43:00,5,4708.86,31
12715,2011-08-25 15:22:00,1,343.36,128
12716,2011-12-06 08:55:00,2,1053.49,25
12717,2011-07-11 14:47:00,2,1030.98,173
12718,2011-09-29 16:38:00,1,238.25,93
12719,2011-12-04 13:45:00,2,644.95,27
12720,2011-12-07 08:03:00,25,5781.73,24
12721,2011-11-08 12:13:00,6,2656.13,53
12722,2011-09-15 14:50:00,4,997.63,107
12723,2011-12-06 10:19:00,5,725.07,25
12724,2011-12-04 16:02:00,4,1031.41,27
12725,2010-12-03 15:45:00,1,427.80,393
12726,2011-11-11 13:35:00,7,2609.10,50
12727,2011-11-29 11:46:00,7,3980.70,32
12728,2011-09-29 15:31:00,4,836.33,93
12729,2011-08-18 11:40:00,1,453.01,135
12731,2011-11-16 11:59:00,12,18895.91,45
12732,2011-06-13 11:33:00,1,236.26,201
12733,2011-04-19 16:19:00,1,383.95,256
12734,2010-12-22 12:47:00,1,110.40,374
12735,2011-01-28 13:37:00,2,779.57,337
12736,2011-01-11 07:57:00,1,234.00,354
12738,2010-12-02 18:27:00,1,155.35,394
12739,2011-09-22 13:00:00,2,1013.04,100
12740,2011-10-07 10:44:00,1,427.60,85
12743,2011-07-28 16:21:00,2,535.98,156
12744,2011-10-19 11:18:00,7,14545.15,73
12747,2011-12-07 14:34:00,11,4196.01,24
12748,2011-12-09 12:20:00,209,32397.40,22
12749,2011-12-06 09:56:00,5,4090.88,25
12750,2011-08-03 09:13:00,1,275.88,150
12752,2011-09-19 13:32:00,1,4366.78,103
12753,2011-11-17 10:52:00,6,21429.39,44
12754,2011-04-18 09:00:00,3,3010.74,257
12755,2011-03-04 12:42:00,2,3811.95,302
12756,2011-09-14 09:31:00,1,112.08,108
12757,2011-11-24 12:30:00,13,7789.85,37
12758,2011-08-15 10:22:00,2,2791.59,138
12759,2011-10-18 14:49:00,3,1531.44,74
12762,2011-12-02 10:23:00,2,1898.52,29
12763,2011-07-24 14:12:00,2,494.08,160
12764,2011-01-27 10:19:00,1,1693.88,338
12766,2011-12-06 08:46:00,7,6989.63,25
12769,2011-04-15 10:25:00,1,1143.60,260
12770,2011-05-13 09:33:00,1,1351.45,232
12772,2011-10-11 09:19:00,1,892.47,81
12775,2011-11-22 16:33:00,5,1386.04,39
12778,2011-11-20 11:30:00,6,822.23,41
12779,2011-11-02 11:43:00,8,3981.36,59
12781,2011-10-07 10:37:00,2,826.74,85
12782,2011-12-05 09:16:00,5,2330.92,26
12783,2011-12-07 15:56:00,6,2225.91,24
12784,2011-11-30 15:38:00,2,512.77,31
12785,2010-12-10 13:48:00,1,311.95,386
12787,2011-11-30 08:44:00,3,463.66,31
12789,2011-10-05 13:34:00,1,91.85,87
12790,2011-05-31 14:14:00,1,324.92,214
12791,2010-12-01 11:27:00,1,192.60,395
12792,2011-03-28 11:36:00,1,400.54,278
12793,2011-01-09 12:12:00,2,545.48,356
12794,2011-10-17 14:54:00,2,860.41,75
12795,2011-11-21 10:27:00,1,430.48,40
12797,2010-12-09 10:55:00,1,254.03,387
12798,2011-11-29 15:52:00,3,6977.04,32
12802,2011-06-06 09:36:00,1,427.58,208
12808,2011-11-03 10:05:00,3,483.65,58
12809,2011-06-15 10:51:00,1,489.31,199
12811,2011-03-24 09:42:00,3,514.85,282
12812,2011-10-26 09:54:00,1,229.64,66
12814,2011-08-30 12:11:00,1,125.92,123
12815,2011-07-15 10:21:00,2,1063.46,169
12816,2011-09-05 12:41:00,2,572.20,117
12817,2011-03-03 16:28:00,1,166.04,303
12818,2011-03-23 12:06:00,1,1542.08,283
12820,2011-12-06 15:12:00,4,942.34,25
12821,2011-05-09 15:51:00,1,92.72,236
12822,2011-09-30 10:04:00,2,948.88,92
12823,2011-09-26 07:35:00,5,1759.50,96
12824,2011-10-11 12:49:00,1,397.12,81
12826,2011-12-07 10:25:00,7,1474.72,24
12827,2011-12-04 12:17:00,3,430.15,27
12828,2011-12-07 08:45:00,6,1018.71,24
12829,2011-01-07 11:13:00,2,293.00,358
12830,2011-11-02 11:54:00,6,6814.64,59
12831,2011-03-22 13:02:00,1,215.05,284
12832,2011-11-07 13:30:00,2,383.03,54
12833,2011-07-17 13:46:00,1,417.38,167
12834,2011-03-02 09:49:00,1,312.38,304
12836,2011-10-11 15:10:00,4,2606.16,81
12837,2011-06-19 16:07:00,1,134.10,195
12838,2011-11-06 12:20:00,2,662.38,55
12839,2011-12-07 12:33:00,14,5588.44,24
12840,2011-07-19 09:29:00,4,2726.77,165
12841,2011-12-05 11:13:00,25,3987.83,26
12842,2011-09-30 15:33:00,2,1118.99,92
12843,2011-10-05 12:09:00,8,1680.90,87
12844,2011-11-10 13:31:00,2,320.96,51
12845,2011-03-17 13:34:00,4,354.09,289
12847,2011-11-17 13:16:00,1,772.65,44
12849,2011-11-08 13:41:00,2,1005.25,53
12851,2011-09-04 12:41:00,1,128.01,118
12852,2011-02-18 08:47:00,1,311.55,316
12853,2011-07-28 11:29:00,6,1957.10,156
12854,2011-09-22 12:15:00,3,1281.90,100
12855,2010-12-02 09:37:00,1,38.10,394
12856,2011-12-02 10:52:00,6,2151.63,29
12857,2011-05-13 10:20:00,2,1106.40,232
12863,2011-10-18 14:15:00,1,521.20,74
12864,2011-07-24 13:03:00,1,147.12,160
12865,2011-11-13 14:31:00,2,1568.23,48
12866,2011-03-01 14:11:00,1,559.12,305
12867,2011-11-13 15:30:00,7,3928.62,48
12868,2011-06-07 10:42:00,6,1607.06,207
12871,2011-09-16 15:07:00,2,380.64,106
12872,2011-01-17 10:52:00,2,599.97,348
12873,2011-03-02 14:58:00,1,374.00,304
12875,2011-07-19 15:30:00,2,343.23,165
12876,2011-10-13 12:26:00,2,2218.02,79
12877,2011-12-06 10:30:00,12,1535.77,25
12878,2011-04-17 13:07:00,2,854.99,258
12879,2011-10-26 12:24:00,3,573.22,66
12881,2011-03-09 11:44:00,1,298.00,297
12882,2011-11-30 16:18:00,2,1463.04,31
12883,2011-11-15 09:32:00,4,703.47,46
12884,2011-09-12 13:10:00,1,309.05,110
12885,2011-10-07 13:40:00,3,1175.22,85
12886,2011-10-03 10:09:00,2,1378.40,89
12888,2011-05-09 16:02:00,2,354.12,236
12890,2011-11-15 17:26:00,1,376.17,46
12891,2011-06-07 12:31:00,3,331.00,207
12893,2011-11-09 12:34:00,1,168.90,52
12895,2011-10-28 13:51:00,2,372.80,64
12897,2011-05-19 12:13:00,2,216.50,226
12901,2011-12-01 10:07:00,28,17654.54,30
12902,2011-03-20 12:06:00,1,138.68,286
12904,2011-11-21 14:34:00,2,489.01,40
12906,2011-11-28 09:55:00,5,2919.81,33
12908,2011-06-16 15:39:00,2,750.00,198
12909,2011-10-31 12:43:00,5,2163.82,61
12910,2011-11-16 14:28:00,8,3075.04,45
12912,2011-12-07 08:55:00,5,1662.30,24
12913,2011-12-05 12:11:00,5,2483.63,26
12915,2011-07-14 11:34:00,2,363.65,170
12916,2011-07-24 10:35:00,4,2850.95,160
12917,2011-08-03 16:42:00,1,594.00,150
12919,2011-12-01 13:47:00,6,1335.19,30
12920,2011-11-22 15:05:00,1,162.78,39
12921,2011-11-30 16:22:00,37,16587.09,31
12922,2011-07-01 15:35:00,1,405.38,183
12923,2011-10-06 16:20:00,1,172.82,86
12924,2011-09-12 13:55:00,4,907.45,110
12925,2011-12-05 11:11:00,2,694.05,26
12928,2011-11-04 14:24:00,5,2062.70,57
12929,2011-02-01 12:08:00,1,117.85,333
12930,2011-09-22 15:18:00,2,415.80,100
12931,2011-11-18 12:39:00,15,40949.76,43
12933,2011-11-15 16:38:00,3,585.03,46
12935,2011-12-07 17:25:00,7,2160.70,24
12936,2011-11-22 17:32:00,4,1063.90,39
12937,2011-11-24 15:05:00,4,1504.27,37
12938,2011-11-14 11:21:00,1,114.14,47
12939,2011-10-06 14:33:00,8,11581.80,86
12940,2011-10-16 12:09:00,2,889.69,76
12942,2011-07-31 14:39:00,3,675.60,153
12944,2011-11-04 11:04:00,2,604.51,57
12945,2011-02-24 14:15:00,1,462.95,310
12947,2011-07-19 10:06:00,6,1603.99,165
12948,2011-11-23 17:10:00,7,2064.95,38
12949,2011-11-09 11:25:00,8,4167.22,52
12950,2011-12-07 13:17:00,3,1843.00,24
12951,2011-12-01 12:14:00,6,1064.07,30
12952,2011-12-04 10:35:00,4,1387.79,27
12953,2011-11-30 09:24:00,1,329.85,31
12955,2011-12-08 16:29:00,11,4757.16,23
12956,2011-02-06 16:08:00,1,108.07,328
12957,2011-11-30 09:53:00,8,4017.54,31
12962,2011-12-02 15:55:00,2,266.39,29
12963,2011-12-01 12:55:00,8,1856.63,30
12965,2011-09-11 15:31:00,1,769.81,111
12966,2011-11-30 12:38:00,1,160.18,31
12967,2010-12-16 19:10:00,2,1660.90,380
12968,2011-08-19 15:44:00,1,135.95,134
12970,2011-12-02 14:30:00,4,373.97,29
12971,2011-12-06 12:20:00,86,11189.91,25
12974,2011-05-26 09:33:00,1,144.80,219
12976,2011-05-12 09:55:00,1,738.60,233
12977,2011-07-06 16:40:00,1,39.24,178
12980,2011-07-05 09:34:00,9,7374.90,179
12981,2011-11-10 12:00:00,2,372.22,51
12982,2011-04-11 11:51:00,1,390.54,264
12984,2011-11-21 12:37:00,1,97.50,40
12985,2011-12-09 10:46:00,2,1239.38,22
12987,2011-09-27 12:03:00,2,558.70,95
12988,2011-02-20 14:31:00,1,466.32,314
12989,2011-12-06 15:28:00,15,6924.11,25
12990,2011-11-08 13:01:00,3,409.50,53
12991,2011-11-16 15:34:00,2,503.76,45
12993,2011-11-16 15:49:00,4,414.76,45
12994,2011-12-05 15:43:00,3,974.42,26
12995,2011-09-15 15:44:00,1,211.32,107
12997,2011-11-17 15:47:00,4,1226.89,44
12999,2011-05-27 13:24:00,3,455.88,218
13000,2011-08-25 10:43:00,3,534.85,128
13001,2011-12-05 14:51:00,13,9747.95,26
13002,2011-01-25 15:18:00,1,120.95,340
13003,2011-08-26 10:50:00,3,149.05,127
13004,2011-11-28 11:27:00,18,5655.91,33
13005,2011-06-19 10:53:00,2,513.70,195
13006,2011-10-14 13:49:00,1,81.57,78
13008,2011-01-20 14:24:00,1,229.47,345
13011,2010-12-02 17:22:00,1,50.55,394
13012,2011-11-30 13:05:00,8,1646.84,31
13013,2011-12-08 15:01:00,13,4810.94,23
13014,2011-11-29 12:27:00,10,3466.28,32
13015,2011-10-17 13:19:00,5,3339.64,75
13016,2011-09-27 14:08:00,3,789.89,95
13017,2011-12-02 15:53:00,1,204.00,29
13018,2011-11-23 13:28:00,28,7277.70,38
13021,2011-12-05 16:37:00,9,2616.38,26
13023,2011-10-06 16:27:00,2,689.90,86
13026,2011-12-08 16:58:00,5,975.36,23
13027,2011-08-18 09:39:00,6,6912.00,135
13028,2011-11-17 11:10:00,2,661.32,44
13029,2011-11-09 09:13:00,3,1247.50,52
13030,2011-11-28 14:30:00,2,669.25,33
13032,2011-10-18 15:54:00,2,1010.18,74
13033,2010-12-17 14:23:00,1,190.55,379
13034,2011-10-16 12:21:00,2,642.77,76
13035,2011-09-27 08:57:00,2,921.88,95
13037,2011-07-24 15:46:00,3,881.07,160
13038,2011-09-20 14:37:00,3,908.46,102
13040,2011-12-01 10:38:00,2,676.99,30
13043,2011-03-11 14:52:00,1,516.42,295
13044,2011-02-21 15:20:00,1,560.47,313
13045,2011-09-01 15:04:00,1,305.28,121
13046,2011-11-09 08:36:00,2,629.31,52
13047,2011-11-08 12:06:00,10,3237.54,53
13048,2011-11-25 13:23:00,4,1817.71,36
13049,2011-10-06 15:31:00,2,656.68,86
13050,2011-11-25 09:18:00,17,5805.79,36
13052,2011-05-11 14:12:00,1,348.15,234
13055,2011-09-22 14:26:00,3,1214.41,100
13058,2011-11-15 12:43:00,3,271.40,46
13059,2011-04-04 10:40:00,1,183.40,271
13060,2011-03-31 11:37:00,1,307.53,275
13061,2011-09-28 16:04:00,1,248.61,94
13062,2011-06-01 15:12:00,1,346.98,213
13064,2011-11-27 12:31:00,4,1095.69,34
13065,2010-12-01 16:52:00,1,205.86,395
13066,2011-11-15 12:57:00,2,470.80,46
13067,2011-09-18 13:38:00,1,107.51,104
13068,2011-11-29 15:00:00,2,344.00,32
13069,2011-12-09 08:39:00,24,4409.30,22
13070,2011-05-31 13:45:00,1,228.80,214
13072,2011-03-18 08:12:00,1,177.15,288
13075,2011-08-02 10:19:00,1,919.61,151
13077,2011-12-08 19:24:00,4,728.02,23
13078,2011-12-06 15:36:00,26,12627.94,25
13079,2011-12-05 16:53:00,5,220.10,26
13080,2011-06-13 14:59:00,1,58.08,201
13081,2011-11-28 10:54:00,11,28337.38,33
